ticket_id,date,produit,catégorie,quantité,montant,client_id
T000018,2024-10-28,Riz,Alimentaire,2,7.29,C001
T000018,2024-10-28,Chips,Snack,4,8.35,C001
T000018,2024-10-28,Pain,Alimentaire,4,23.49,C001
T000019,2024-11-05,Chips,Snack,1,3.09,C040
T000019,2024-11-05,Fromage,Alimentaire,1,2.08,C040
T000019,2024-11-05,Bonbons,Snack,1,3.76,C040
T000019,2024-11-05,Lait,Alimentaire,4,14.03,C040
T000019,2024-11-05,Chocolat,Snack,3,7.03,C040
T000020,2024-09-27,Pain,Alimentaire,4,10.0,C046
T000020,2024-09-27,Fromage,Alimentaire,1,5.31,C046
T000020,2024-09-27,Lait,Alimentaire,2,8.93,C046
T000021,2024-05-10,Bonbons,Snack,2,3.14,C036
T000021,2024-05-10,Pâtes,Alimentaire,2,5.98,C036
T000022,2024-06-08,Lait,Alimentaire,3,11.75,C047
T000022,2024-06-08,Chips,Snack,1,1.99,C047
T000022,2024-06-08,Pain,Alimentaire,3,14.09,C047
T000022,2024-06-08,Jus,Boisson,4,9.71,C047
T000023,2024-10-12,Chips,Snack,2,3.2,C047
T000023,2024-10-12,Fromage,Alimentaire,2,9.34,C047
T000024,2024-12-05,Chocolat,Snack,4,13.27,C004
T000024,2024-12-05,Riz,Alimentaire,4,19.59,C004
T000024,2024-12-05,Lait,Alimentaire,2,9.49,C004
T000024,2024-12-05,Fromage,Alimentaire,1,4.77,C004
T000024,2024-12-05,Pâtes,Alimentaire,4,20.58,C004
T000025,2024-06-07,Soda,Boisson,3,5.99,C036
T000025,2024-06-07,Jus,Boisson,3,4.7,C036
T000026,2024-12-21,Lait,Alimentaire,2,11.19,C031
T000026,2024-12-21,Pain,Alimentaire,2,10.29,C031
T000027,2024-05-12,Riz,Alimentaire,3,12.05,C035
T000027,2024-05-12,Pâtes,Alimentaire,4,20.79,C035
T000028,2024-10-10,Pain,Alimentaire,4,22.88,C047
T000028,2024-10-10,Riz,Alimentaire,2,6.49,C047
T000029,2024-12-04,Pâtes,Alimentaire,2,7.14,C040
T000030,2024-02-23,Pâtes,Alimentaire,1,5.56,C000
T000030,2024-02-23,Lait,Alimentaire,3,11.47,C000
T000030,2024-02-23,Fromage,Alimentaire,2,6.08,C000
T000030,2024-02-23,Pain,Alimentaire,3,9.08,C000
T000031,2024-07-30,Fromage,Alimentaire,3,11.98,C038
T000031,2024-07-30,Chips,Snack,4,9.58,C038
T000031,2024-07-30,Lait,Alimentaire,1,5.35,C038
T000032,2024-06-27,Bière,Boisson,1,2.18,C038
T000032,2024-06-27,Riz,Alimentaire,4,19.05,C038
T000033,2024-09-06,Fromage,Alimentaire,1,2.29,C011
T000034,2024-12-31,Riz,Alimentaire,1,5.71,C017
T000034,2024-12-31,Pâtes,Alimentaire,1,4.79,C017
T000034,2024-12-31,Fromage,Alimentaire,3,8.25,C017
T000035,2024-10-20,Pâtes,Alimentaire,2,10.81,C011
T000035,2024-10-20,Lait,Alimentaire,1,5.09,C011
T000035,2024-10-20,Chips,Snack,4,8.32,C011
T000035,2024-10-20,Pain,Alimentaire,2,4.82,C011
T000036,2024-11-08,Chips,Snack,2,3.9,C023
T000036,2024-11-08,Chocolat,Snack,2,7.57,C023
T000038,2024-10-04,Pâtes,Alimentaire,1,2.74,C042
T000038,2024-10-04,Riz,Alimentaire,4,22.31,C042
T000038,2024-10-04,Lait,Alimentaire,1,5.13,C042
T000039,2024-09-24,Pain,Alimentaire,3,10.98,C004
T000039,2024-09-24,Bonbons,Snack,4,8.26,C004
T000040,2024-11-05,Chocolat,Snack,3,11.29,C042
T000041,2024-10-03,Bonbons,Snack,1,2.82,C029
T000042,2024-12-16,Bonbons,Snack,1,3.33,C025
T000042,2024-12-16,Pâtes,Alimentaire,2,9.2,C025
T000042,2024-12-16,Chips,Snack,3,7.65,C025
T000043,2024-12-07,Pâtes,Alimentaire,2,7.9,C043
T000044,2024-01-27,Chips,Snack,3,5.74,C004
T000044,2024-01-27,Fromage,Alimentaire,1,4.39,C004
T000044,2024-01-27,Bonbons,Snack,4,9.2,C004
T000044,2024-01-27,Lait,Alimentaire,3,13.13,C004
T000045,2024-08-02,Chips,Snack,4,15.44,C008
T000045,2024-08-02,Soda,Boisson,4,7.78,C008
T000045,2024-08-02,Pâtes,Alimentaire,1,3.03,C008
T000045,2024-08-02,Bonbons,Snack,2,3.86,C008
T000046,2024-07-20,Chocolat,Snack,2,6.57,C006
T000046,2024-07-20,Lait,Alimentaire,4,13.14,C006
T000048,2024-07-23,Chips,Snack,2,4.31,C043
T000048,2024-07-23,Lait,Alimentaire,3,17.58,C043
T000049,2024-06-20,Riz,Alimentaire,1,3.58,C029
T000049,2024-06-20,Bonbons,Snack,4,14.63,C029
T000049,2024-06-20,Lait,Alimentaire,4,19.24,C029
T000049,2024-06-20,Eau,Boisson,2,4.12,C029
T000049,2024-06-20,Chips,Snack,2,7.28,C029
T000050,2024-03-29,Fromage,Alimentaire,2,9.19,C043
T000050,2024-03-29,Lait,Alimentaire,3,6.55,C043
T000051,2024-02-04,Riz,Alimentaire,1,4.65,C029
T000051,2024-02-04,Chips,Snack,2,4.63,C029
T000052,2024-04-09,Chips,Snack,1,1.83,C021
T000052,2024-04-09,Riz,Alimentaire,4,21.9,C021
T000053,2024-03-15,Chips,Snack,1,2.16,C004
T000053,2024-03-15,Lait,Alimentaire,2,5.39,C004
T000053,2024-03-15,Pain,Alimentaire,2,10.51,C004
T000054,2024-11-19,Lait,Alimentaire,2,8.83,C035
T000054,2024-11-19,Chocolat,Snack,1,2.76,C035
T000054,2024-11-19,Pâtes,Alimentaire,3,11.22,C035
T000054,2024-11-19,Pain,Alimentaire,4,15.98,C035
T000055,2024-11-02,Chips,Snack,1,1.87,C032
T000055,2024-11-02,Pâtes,Alimentaire,2,5.09,C032
T000055,2024-11-02,Bonbons,Snack,1,3.87,C032
T000056,2024-12-12,Fromage,Alimentaire,1,5.55,C030
T000057,2024-11-23,Riz,Alimentaire,2,9.91,C027
T000057,2024-11-23,Fromage,Alimentaire,1,3.1,C027
T000057,2024-11-23,Pain,Alimentaire,4,13.73,C027
T000058,2024-09-08,Pâtes,Alimentaire,1,4.95,C042
T000058,2024-09-08,Chips,Snack,2,5.84,C042
T000059,2024-08-14,Pâtes,Alimentaire,3,11.44,C011
T000059,2024-08-14,Fromage,Alimentaire,1,2.69,C011
T000059,2024-08-14,Chocolat,Snack,2,5.44,C011
T000059,2024-08-14,Riz,Alimentaire,3,8.08,C011
T000060,2024-06-20,Fromage,Alimentaire,2,10.95,C015
T000060,2024-06-20,Jus,Boisson,2,4.6,C015
T000060,2024-06-20,Eau,Boisson,2,4.78,C015
T000060,2024-06-20,Riz,Alimentaire,3,6.99,C015
T000060,2024-06-20,Pâtes,Alimentaire,1,3.12,C015
T000061,2024-02-21,Pain,Alimentaire,3,10.42,C047
T000061,2024-02-21,Chocolat,Snack,2,4.72,C047
T000061,2024-02-21,Fromage,Alimentaire,2,10.68,C047
T000062,2024-11-22,Chips,Snack,3,6.34,C040
T000063,2024-07-25,Jus,Boisson,4,7.41,C047
T000063,2024-07-25,Pâtes,Alimentaire,2,7.83,C047
T000063,2024-07-25,Pain,Alimentaire,4,19.73,C047
T000063,2024-07-25,Chips,Snack,1,2.98,C047
T000063,2024-07-25,Bière,Boisson,4,8.26,C047
T000064,2024-11-13,Riz,Alimentaire,2,10.51,C012
T000064,2024-11-13,Pâtes,Alimentaire,1,2.8,C012
T000064,2024-11-13,Lait,Alimentaire,2,5.64,C012
T000064,2024-11-13,Bonbons,Snack,2,6.69,C012
T000064,2024-11-13,Chocolat,Snack,3,5.73,C012
T000065,2024-04-29,Bonbons,Snack,1,2.34,C012
T000065,2024-04-29,Pâtes,Alimentaire,3,11.55,C012
T000065,2024-04-29,Chocolat,Snack,1,2.38,C012
T000065,2024-04-29,Fromage,Alimentaire,1,2.91,C012
T000065,2024-04-29,Chips,Snack,2,4.42,C012
T000066,2024-06-09,Riz,Alimentaire,3,16.67,C048
T000066,2024-06-09,Pain,Alimentaire,2,5.71,C048
T000066,2024-06-09,Bonbons,Snack,3,9.2,C048
T000066,2024-06-09,Jus,Boisson,3,5.99,C048
T000067,2024-10-16,Riz,Alimentaire,4,22.31,C039
T000068,2024-09-25,Pain,Alimentaire,4,16.05,C011
T000068,2024-09-25,Fromage,Alimentaire,4,22.02,C011
T000068,2024-09-25,Bonbons,Snack,2,7.5,C011
T000069,2024-08-14,Chips,Snack,1,2.62,C021
T000069,2024-08-14,Chocolat,Snack,4,12.91,C021
T000069,2024-08-14,Bière,Boisson,1,1.39,C021
T000069,2024-08-14,Soda,Boisson,2,2.12,C021
T000069,2024-08-14,Jus,Boisson,4,6.41,C021
T000069,2024-08-14,Pain,Alimentaire,1,2.24,C021
T000070,2024-06-15,Soda,Boisson,2,5.14,C036
T000071,2024-06-24,Fromage,Alimentaire,4,11.81,C030
T000071,2024-06-24,Pain,Alimentaire,1,3.65,C030
T000071,2024-06-24,Bière,Boisson,2,2.85,C030
T000071,2024-06-24,Pâtes,Alimentaire,2,7.47,C030
T000071,2024-06-24,Soda,Boisson,3,5.05,C030
T000072,2024-06-07,Pain,Alimentaire,1,2.7,C030
T000072,2024-06-07,Eau,Boisson,3,8.12,C030
T000072,2024-06-07,Lait,Alimentaire,1,2.16,C030
T000072,2024-06-07,Fromage,Alimentaire,1,3.11,C030
T000072,2024-06-07,Bonbons,Snack,4,13.85,C030
T000072,2024-06-07,Pâtes,Alimentaire,3,14.75,C030
T000073,2024-10-21,Riz,Alimentaire,4,12.67,C015
T000073,2024-10-21,Pâtes,Alimentaire,1,5.96,C015
T000073,2024-10-21,Chocolat,Snack,3,6.25,C015
T000073,2024-10-21,Pain,Alimentaire,3,12.66,C015
T000073,2024-10-21,Chips,Snack,4,10.9,C015
T000074,2024-05-27,Riz,Alimentaire,1,5.36,C049
T000075,2024-12-13,Fromage,Alimentaire,1,5.16,C019
T000075,2024-12-13,Bonbons,Snack,2,6.37,C019
T000075,2024-12-13,Lait,Alimentaire,2,7.06,C019
T000075,2024-12-13,Pain,Alimentaire,4,11.73,C019
T000076,2024-05-17,Bonbons,Snack,2,5.95,C046
T000076,2024-05-17,Riz,Alimentaire,4,23.04,C046
T000077,2024-11-18,Riz,Alimentaire,1,3.54,C015
T000078,2024-01-20,Fromage,Alimentaire,3,17.3,C036
T000078,2024-01-20,Chocolat,Snack,1,2.4,C036
T000078,2024-01-20,Pâtes,Alimentaire,3,6.5,C036
T000079,2024-04-15,Bonbons,Snack,2,7.07,C002
T000079,2024-04-15,Pain,Alimentaire,3,7.13,C002
T000079,2024-04-15,Chips,Snack,2,4.47,C002
T000080,2024-08-09,Chocolat,Snack,2,6.67,C039
T000080,2024-08-09,Riz,Alimentaire,3,17.18,C039
T000080,2024-08-09,Chips,Snack,1,3.55,C039
T000081,2024-05-11,Pâtes,Alimentaire,3,16.08,C045
T000081,2024-05-11,Chips,Snack,4,12.6,C045
T000081,2024-05-11,Fromage,Alimentaire,4,11.47,C045
T000081,2024-05-11,Riz,Alimentaire,2,8.33,C045
T000082,2024-01-01,Fromage,Alimentaire,4,13.32,C043
T000083,2024-02-20,Bonbons,Snack,1,3.9,C027
T000083,2024-02-20,Chips,Snack,2,3.71,C027
T000084,2024-09-17,Fromage,Alimentaire,2,10.4,C017
T000085,2024-07-22,Pain,Alimentaire,1,3.04,C031
T000085,2024-07-22,Eau,Boisson,2,2.69,C031
T000085,2024-07-22,Chips,Snack,3,10.58,C031
T000085,2024-07-22,Pâtes,Alimentaire,1,3.59,C031
T000086,2024-08-15,Eau,Boisson,4,5.87,C048
T000086,2024-08-15,Riz,Alimentaire,3,6.69,C048
T000086,2024-08-15,Jus,Boisson,4,5.9,C048
T000087,2024-07-08,Pain,Alimentaire,1,3.4,C013
T000087,2024-07-08,Jus,Boisson,4,7.67,C013
T000087,2024-07-08,Fromage,Alimentaire,3,17.36,C013
T000087,2024-07-08,Bière,Boisson,3,5.24,C013
T000088,2024-06-21,Bonbons,Snack,1,3.58,C044
T000088,2024-06-21,Bière,Boisson,3,3.24,C044
T000088,2024-06-21,Pâtes,Alimentaire,4,8.77,C044
T000088,2024-06-21,Riz,Alimentaire,2,8.71,C044
T000088,2024-06-21,Lait,Alimentaire,3,17.6,C044
T000089,2024-01-10,Chocolat,Snack,3,6.35,C048
T000089,2024-01-10,Chips,Snack,3,4.99,C048
T000089,2024-01-10,Bonbons,Snack,2,7.01,C048
T000090,2024-08-31,Chips,Snack,4,7.91,C022
T000090,2024-08-31,Pâtes,Alimentaire,1,3.01,C022
T000090,2024-08-31,Jus,Boisson,3,8.02,C022
T000090,2024-08-31,Bonbons,Snack,1,3.82,C022
T000090,2024-08-31,Chocolat,Snack,2,3.3,C022
T000091,2024-11-13,Fromage,Alimentaire,1,5.6,C008
T000091,2024-11-13,Chips,Snack,4,12.64,C008
T000092,2024-12-20,Fromage,Alimentaire,4,21.28,C041
T000092,2024-12-20,Riz,Alimentaire,3,11.77,C041
T000093,2024-11-12,Pain,Alimentaire,1,2.17,C006
T000094,2024-05-11,Chips,Snack,3,7.45,C047
T000095,2024-05-17,Chips,Snack,4,11.0,C025
T000096,2024-08-04,Chocolat,Snack,2,5.27,C039
T000096,2024-08-04,Riz,Alimentaire,3,12.35,C039
T000096,2024-08-04,Bière,Boisson,4,10.55,C039
T000096,2024-08-04,Pâtes,Alimentaire,1,3.36,C039
T000096,2024-08-04,Eau,Boisson,3,8.38,C039
T000096,2024-08-04,Lait,Alimentaire,3,15.0,C039
T000098,2024-09-09,Chips,Snack,1,3.93,C049
T000098,2024-09-09,Pâtes,Alimentaire,4,21.2,C049
T000098,2024-09-09,Chocolat,Snack,4,12.37,C049
T000100,2024-01-12,Pain,Alimentaire,2,8.29,C013
T000100,2024-01-12,Pâtes,Alimentaire,2,7.24,C013
T000101,2024-04-17,Chips,Snack,1,2.86,C034
T000102,2024-11-28,Chocolat,Snack,3,7.19,C041
T000102,2024-11-28,Riz,Alimentaire,2,7.09,C041
T000103,2024-03-24,Bonbons,Snack,3,8.44,C033
T000103,2024-03-24,Pâtes,Alimentaire,2,11.96,C033
T000104,2024-12-01,Chips,Snack,2,7.18,C044
T000104,2024-12-01,Pâtes,Alimentaire,4,14.31,C044
T000104,2024-12-01,Riz,Alimentaire,1,4.38,C044
T000105,2024-09-21,Chocolat,Snack,3,5.02,C022
T000105,2024-09-21,Fromage,Alimentaire,1,4.76,C022
T000106,2024-03-06,Riz,Alimentaire,2,10.07,C013
T000106,2024-03-06,Fromage,Alimentaire,4,23.97,C013
T000106,2024-03-06,Pain,Alimentaire,4,21.59,C013
T000108,2024-05-14,Pâtes,Alimentaire,2,9.47,C002
T000108,2024-05-14,Lait,Alimentaire,3,17.05,C002
T000109,2024-10-23,Chips,Snack,1,2.11,C001
T000109,2024-10-23,Pain,Alimentaire,4,14.92,C001
T000109,2024-10-23,Fromage,Alimentaire,2,6.07,C001
T000110,2024-05-30,Pain,Alimentaire,4,11.38,C039
T000110,2024-05-30,Chips,Snack,2,4.01,C039
T000110,2024-05-30,Riz,Alimentaire,4,15.21,C039
T000111,2024-11-22,Pâtes,Alimentaire,3,15.11,C017
T000111,2024-11-22,Riz,Alimentaire,1,3.69,C017
T000111,2024-11-22,Lait,Alimentaire,2,4.03,C017
T000112,2024-07-16,Bonbons,Snack,4,11.19,C004
T000112,2024-07-16,Riz,Alimentaire,4,23.39,C004
T000113,2024-08-19,Bonbons,Snack,2,6.51,C049
T000113,2024-08-19,Pâtes,Alimentaire,1,5.75,C049
T000113,2024-08-19,Chips,Snack,4,12.47,C049
T000113,2024-08-19,Riz,Alimentaire,3,6.53,C049
T000113,2024-08-19,Eau,Boisson,1,2.61,C049
T000114,2024-10-09,Chips,Snack,3,7.67,C025
T000114,2024-10-09,Riz,Alimentaire,1,5.65,C025
T000114,2024-10-09,Chocolat,Snack,2,5.88,C025
T000115,2024-09-19,Pâtes,Alimentaire,4,12.97,C036
T000115,2024-09-19,Chocolat,Snack,3,7.46,C036
T000115,2024-09-19,Fromage,Alimentaire,2,10.87,C036
T000115,2024-09-19,Pain,Alimentaire,4,9.8,C036
T000116,2024-03-28,Chocolat,Snack,3,6.69,C010
T000117,2024-04-24,Fromage,Alimentaire,1,2.88,C048
T000118,2024-07-14,Chocolat,Snack,2,3.25,C023
T000118,2024-07-14,Fromage,Alimentaire,4,23.74,C023
T000118,2024-07-14,Chips,Snack,2,6.94,C023
T000118,2024-07-14,Jus,Boisson,1,1.96,C023
T000118,2024-07-14,Riz,Alimentaire,2,6.86,C023
T000118,2024-07-14,Pâtes,Alimentaire,2,4.89,C023
T000119,2024-07-11,Bonbons,Snack,1,1.84,C045
T000120,2024-03-04,Pain,Alimentaire,3,12.17,C030
T000120,2024-03-04,Chocolat,Snack,1,2.09,C030
T000120,2024-03-04,Bonbons,Snack,1,1.88,C030
T000121,2024-08-13,Fromage,Alimentaire,2,7.77,C021
T000122,2024-02-11,Chips,Snack,1,1.86,C038
T000122,2024-02-11,Chocolat,Snack,1,3.38,C038
T000122,2024-02-11,Riz,Alimentaire,1,2.49,C038
T000123,2024-02-04,Chocolat,Snack,3,6.2,C008
T000123,2024-02-04,Pâtes,Alimentaire,4,14.34,C008
T000123,2024-02-04,Fromage,Alimentaire,4,21.71,C008
T000124,2024-02-04,Fromage,Alimentaire,3,7.54,C015
T000125,2024-02-13,Fromage,Alimentaire,2,10.76,C027
T000125,2024-02-13,Pain,Alimentaire,3,9.78,C027
T000125,2024-02-13,Bonbons,Snack,2,7.22,C027
T000125,2024-02-13,Chips,Snack,4,7.72,C027
T000125,2024-02-13,Pâtes,Alimentaire,4,15.14,C027
T000126,2024-02-03,Riz,Alimentaire,3,8.35,C006
T000127,2024-08-04,Pain,Alimentaire,3,7.83,C016
T000127,2024-08-04,Fromage,Alimentaire,4,22.07,C016
T000127,2024-08-04,Chips,Snack,2,4.04,C016
T000127,2024-08-04,Lait,Alimentaire,1,5.27,C016
T000128,2024-09-08,Riz,Alimentaire,1,4.84,C018
T000128,2024-09-08,Bonbons,Snack,1,3.36,C018
T000129,2024-01-13,Pain,Alimentaire,3,14.35,C002
T000129,2024-01-13,Bonbons,Snack,1,3.39,C002
T000129,2024-01-13,Chips,Snack,2,6.32,C002
T000129,2024-01-13,Pâtes,Alimentaire,2,10.49,C002
T000130,2024-06-23,Pain,Alimentaire,3,6.47,C016
T000130,2024-06-23,Chips,Snack,4,9.38,C016
T000132,2024-06-17,Riz,Alimentaire,4,21.65,C049
T000132,2024-06-17,Bière,Boisson,2,4.84,C049
T000132,2024-06-17,Lait,Alimentaire,4,9.15,C049
T000132,2024-06-17,Bonbons,Snack,1,3.16,C049
T000132,2024-06-17,Pain,Alimentaire,4,19.25,C049
T000133,2024-06-18,Jus,Boisson,2,3.14,C003
T000133,2024-06-18,Chocolat,Snack,3,8.59,C003
T000133,2024-06-18,Bonbons,Snack,4,11.22,C003
T000133,2024-06-18,Soda,Boisson,3,5.67,C003
T000134,2024-06-09,Lait,Alimentaire,4,20.07,C033
T000134,2024-06-09,Chips,Snack,2,7.47,C033
T000134,2024-06-09,Pâtes,Alimentaire,2,4.94,C033
T000135,2024-11-24,Riz,Alimentaire,2,4.47,C005
T000135,2024-11-24,Bonbons,Snack,2,3.46,C005
T000136,2024-08-18,Eau,Boisson,3,6.98,C037
T000137,2024-02-08,Bonbons,Snack,1,2.17,C023
T000137,2024-02-08,Fromage,Alimentaire,2,4.32,C023
T000138,2024-10-12,Chips,Snack,2,5.58,C041
T000138,2024-10-12,Pain,Alimentaire,3,7.09,C041
T000138,2024-10-12,Bonbons,Snack,4,12.81,C041
T000139,2024-11-06,Bonbons,Snack,4,8.24,C044
T000139,2024-11-06,Fromage,Alimentaire,2,8.0,C044
T000139,2024-11-06,Lait,Alimentaire,1,2.57,C044
T000139,2024-11-06,Pain,Alimentaire,3,13.95,C044
T000140,2024-09-07,Lait,Alimentaire,2,6.65,C043
T000140,2024-09-07,Fromage,Alimentaire,1,4.59,C043
T000140,2024-09-07,Riz,Alimentaire,2,6.9,C043
T000141,2024-07-01,Fromage,Alimentaire,2,7.48,C012
T000142,2024-07-08,Riz,Alimentaire,1,3.59,C037
T000144,2024-02-06,Fromage,Alimentaire,3,12.73,C004
T000144,2024-02-06,Lait,Alimentaire,4,22.27,C004
T000145,2024-01-13,Riz,Alimentaire,3,13.48,C011
T000146,2024-04-01,Riz,Alimentaire,4,13.81,C038
T000146,2024-04-01,Lait,Alimentaire,4,18.24,C038
T000146,2024-04-01,Fromage,Alimentaire,2,5.01,C038
T000147,2024-10-29,Pain,Alimentaire,1,5.23,C041
T000147,2024-10-29,Fromage,Alimentaire,1,4.87,C041
T000147,2024-10-29,Chocolat,Snack,4,7.29,C041
T000147,2024-10-29,Chips,Snack,3,11.13,C041
T000148,2024-02-06,Pain,Alimentaire,3,14.23,C001
T000149,2024-01-22,Bonbons,Snack,3,4.73,C001
T000149,2024-01-22,Pâtes,Alimentaire,1,4.57,C001
T000150,2024-05-21,Chips,Snack,3,9.0,C013
T000150,2024-05-21,Pâtes,Alimentaire,1,4.25,C013
T000150,2024-05-21,Fromage,Alimentaire,1,4.05,C013
T000151,2024-09-05,Riz,Alimentaire,1,3.51,C040
T000151,2024-09-05,Chips,Snack,1,1.92,C040
T000151,2024-09-05,Bonbons,Snack,2,5.28,C040
T000152,2024-03-21,Bonbons,Snack,1,3.0,C018
T000152,2024-03-21,Lait,Alimentaire,1,4.02,C018
T000153,2024-12-19,Riz,Alimentaire,1,2.36,C036
T000153,2024-12-19,Pain,Alimentaire,4,11.36,C036
T000154,2024-06-20,Fromage,Alimentaire,1,5.47,C036
T000154,2024-06-20,Bonbons,Snack,3,10.18,C036
T000154,2024-06-20,Lait,Alimentaire,4,11.31,C036
T000154,2024-06-20,Pâtes,Alimentaire,1,5.16,C036
T000154,2024-06-20,Jus,Boisson,2,2.84,C036
T000154,2024-06-20,Eau,Boisson,4,9.59,C036
T000155,2024-04-10,Fromage,Alimentaire,4,22.24,C023
T000155,2024-04-10,Pâtes,Alimentaire,3,15.04,C023
T000155,2024-04-10,Lait,Alimentaire,4,13.85,C023
T000156,2024-10-29,Chocolat,Snack,3,9.22,C001
T000157,2024-05-14,Lait,Alimentaire,2,6.6,C029
T000157,2024-05-14,Riz,Alimentaire,1,4.9,C029
T000158,2024-01-02,Riz,Alimentaire,1,3.45,C027
T000158,2024-01-02,Pain,Alimentaire,2,4.64,C027
T000158,2024-01-02,Lait,Alimentaire,2,8.47,C027
T000159,2024-11-25,Riz,Alimentaire,1,5.94,C013
T000159,2024-11-25,Chocolat,Snack,3,10.05,C013
T000159,2024-11-25,Pain,Alimentaire,1,5.82,C013
T000159,2024-11-25,Bonbons,Snack,1,3.21,C013
T000160,2024-02-23,Pain,Alimentaire,2,8.55,C022
T000160,2024-02-23,Riz,Alimentaire,2,8.69,C022
T000161,2024-08-10,Jus,Boisson,3,5.17,C044
T000161,2024-08-10,Chips,Snack,2,7.87,C044
T000161,2024-08-10,Fromage,Alimentaire,3,17.7,C044
T000161,2024-08-10,Chocolat,Snack,2,3.29,C044
T000162,2024-11-30,Chips,Snack,4,12.26,C028
T000162,2024-11-30,Bonbons,Snack,1,2.04,C028
T000162,2024-11-30,Fromage,Alimentaire,4,20.02,C028
T000162,2024-11-30,Pain,Alimentaire,4,15.43,C028
T000163,2024-06-10,Bière,Boisson,3,6.0,C029
T000163,2024-06-10,Chips,Snack,2,7.57,C029
T000163,2024-06-10,Lait,Alimentaire,4,14.85,C029
T000164,2024-01-13,Riz,Alimentaire,1,2.0,C015
T000165,2024-08-17,Bonbons,Snack,1,2.11,C013
T000165,2024-08-17,Fromage,Alimentaire,4,23.29,C013
T000165,2024-08-17,Bière,Boisson,2,2.1,C013
T000165,2024-08-17,Eau,Boisson,3,4.06,C013
T000165,2024-08-17,Riz,Alimentaire,3,8.46,C013
T000166,2024-08-01,Fromage,Alimentaire,4,10.22,C001
T000166,2024-08-01,Bière,Boisson,2,2.26,C001
T000166,2024-08-01,Lait,Alimentaire,3,6.47,C001
T000167,2024-04-05,Fromage,Alimentaire,1,3.16,C017
T000168,2024-02-29,Chips,Snack,3,5.79,C029
T000168,2024-02-29,Fromage,Alimentaire,2,4.53,C029
T000168,2024-02-29,Pain,Alimentaire,4,11.15,C029
T000168,2024-02-29,Bonbons,Snack,3,7.69,C029
T000168,2024-02-29,Pâtes,Alimentaire,3,15.23,C029
T000169,2024-10-10,Riz,Alimentaire,2,5.86,C025
T000169,2024-10-10,Pâtes,Alimentaire,1,5.56,C025
T000169,2024-10-10,Chocolat,Snack,4,10.99,C025
T000170,2024-08-04,Riz,Alimentaire,2,9.44,C044
T000170,2024-08-04,Soda,Boisson,4,9.32,C044
T000170,2024-08-04,Chocolat,Snack,4,6.95,C044
T000170,2024-08-04,Lait,Alimentaire,4,11.9,C044
T000170,2024-08-04,Eau,Boisson,2,3.32,C044
T000170,2024-08-04,Jus,Boisson,3,8.72,C044
T000171,2024-02-06,Chocolat,Snack,3,8.24,C005
T000171,2024-02-06,Pain,Alimentaire,2,4.83,C005
